provinsi,tahun,bulan,suhu_rata_c,suhu_max_c,suhu_min_c,curah_hujan_mm,kelembapan_pct,kec_angin_ms,sumber,nama_bulan
Aceh,2015,1,26.01,28.84,24.0,202.6,85.77,3.62,Open-Meteo ERA5,Januari
Aceh,2015,2,26.36,29.42,24.04,48.5,80.93,4.75,Open-Meteo ERA5,Februari
Aceh,2015,3,26.95,30.19,24.36,139.0,83.81,3.17,Open-Meteo ERA5,Maret
Aceh,2015,4,26.57,29.41,24.67,269.3,89.27,2.54,Open-Meteo ERA5,April
Aceh,2015,5,27.44,30.34,25.48,146.2,86.45,2.94,Open-Meteo ERA5,Mei
Aceh,2015,6,27.63,30.53,25.58,133.1,82.47,3.4,Open-Meteo ERA5,Juni
Aceh,2015,7,26.92,29.57,25.12,205.2,85.39,4.31,Open-Meteo ERA5,Juli
Aceh,2015,8,26.77,29.44,24.89,151.1,85.94,3.81,Open-Meteo ERA5,Agustus
Aceh,2015,9,26.52,29.43,24.63,276.7,86.83,3.24,Open-Meteo ERA5,September
Aceh,2015,10,26.44,29.26,24.59,320.9,89.19,2.42,Open-Meteo ERA5,Oktober
Aceh,2015,11,26.05,28.86,24.32,393.5,90.63,2.56,Open-Meteo ERA5,November
Aceh,2015,12,26.44,29.09,24.5,155.7,87.23,3.35,Open-Meteo ERA5,Desember
Aceh,2016,1,27.01,29.73,25.03,139.9,85.13,3.84,Open-Meteo ERA5,Januari
Aceh,2016,2,26.98,29.74,25.01,101.6,82.97,5.09,Open-Meteo ERA5,Februari
Aceh,2016,3,27.83,30.92,25.38,54.2,82.74,3.55,Open-Meteo ERA5,Maret
Aceh,2016,4,27.85,30.85,25.73,109.0,85.3,2.64,Open-Meteo ERA5,April
Aceh,2016,5,27.87,30.54,26.1,202.8,85.81,3.34,Open-Meteo ERA5,Mei
Aceh,2016,6,27.45,30.24,25.59,127.2,81.07,4.67,Open-Meteo ERA5,Juni
Aceh,2016,7,27.31,30.12,25.4,92.3,81.74,4.27,Open-Meteo ERA5,Juli
Aceh,2016,8,26.74,29.25,25.09,269.2,83.13,5.53,Open-Meteo ERA5,Agustus
Aceh,2016,9,26.5,28.98,24.85,104.5,84.53,5.01,Open-Meteo ERA5,September
Aceh,2016,10,25.89,28.21,24.47,352.6,88.68,4.47,Open-Meteo ERA5,Oktober
Aceh,2016,11,25.82,28.53,24.18,364.7,91.0,2.77,Open-Meteo ERA5,November
Aceh,2016,12,25.82,28.27,24.17,268.8,88.71,3.68,Open-Meteo ERA5,Desember
Aceh,2017,1,24.92,27.47,23.06,492.9,88.06,3.95,Open-Meteo ERA5,Januari
Aceh,2017,2,25.54,28.64,23.09,153.3,82.29,4.28,Open-Meteo ERA5,Februari
Aceh,2017,3,25.62,28.41,23.26,210.7,86.16,3.13,Open-Meteo ERA5,Maret
Aceh,2017,4,26.33,29.11,24.26,190.9,86.2,3.21,Open-Meteo ERA5,April
Aceh,2017,5,26.62,29.06,24.73,220.0,83.13,4.65,Open-Meteo ERA5,Mei
Aceh,2017,6,27.54,30.5,25.09,13.1,75.73,5.12,Open-Meteo ERA5,Juni
Aceh,2017,7,27.63,31.15,24.81,39.9,70.65,5.91,Open-Meteo ERA5,Juli
Aceh,2017,8,26.64,29.74,24.16,121.9,78.97,4.91,Open-Meteo ERA5,Agustus
Aceh,2017,9,26.14,28.75,24.21,214.7,83.9,4.26,Open-Meteo ERA5,September
Aceh,2017,10,26.19,29.09,23.87,167.2,81.65,4.16,Open-Meteo ERA5,Oktober
Aceh,2017,11,25.24,27.73,23.37,341.9,89.03,2.97,Open-Meteo ERA5,November
Aceh,2017,12,25.13,27.84,23.04,387.9,86.94,3.84,Open-Meteo ERA5,Desember
Aceh,2018,1,25.12,28.16,22.71,174.9,85.84,3.07,Open-Meteo ERA5,Januari
Aceh,2018,2,25.77,29.16,23.11,81.1,81.5,4.17,Open-Meteo ERA5,Februari
Aceh,2018,3,25.95,29.18,23.34,178.8,84.42,3.49,Open-Meteo ERA5,Maret
Aceh,2018,4,26.15,29.2,23.81,154.9,85.7,3.23,Open-Meteo ERA5,April
Aceh,2018,5,26.14,29.13,23.88,243.2,86.9,2.65,Open-Meteo ERA5,Mei
Aceh,2018,6,27.17,30.35,24.58,63.7,78.93,4.72,Open-Meteo ERA5,Juni
Aceh,2018,7,27.21,30.18,24.89,63.8,73.97,6.11,Open-Meteo ERA5,Juli
Aceh,2018,8,27.04,30.2,24.48,52.4,74.03,6.32,Open-Meteo ERA5,Agustus
Aceh,2018,9,26.6,29.86,24.15,96.7,78.07,4.72,Open-Meteo ERA5,September
Aceh,2018,10,25.64,28.38,23.62,211.2,86.19,3.53,Open-Meteo ERA5,Oktober
Aceh,2018,11,25.39,28.21,23.32,193.9,88.87,3.03,Open-Meteo ERA5,November
Aceh,2018,12,25.45,28.45,23.12,330.0,87.19,3.14,Open-Meteo ERA5,Desember
Aceh,2019,1,25.66,28.94,23.24,151.0,83.03,3.96,Open-Meteo ERA5,Januari
Aceh,2019,2,26.02,29.4,23.27,106.8,82.71,4.1,Open-Meteo ERA5,Februari
Aceh,2019,3,26.56,29.84,23.76,86.5,82.48,3.69,Open-Meteo ERA5,Maret
Aceh,2019,4,27.11,30.45,24.5,177.0,83.2,2.97,Open-Meteo ERA5,April
Aceh,2019,5,27.77,30.83,25.37,46.3,78.81,4.1,Open-Meteo ERA5,Mei
